
 Bonds

1 1 1 4
2 1 4 7
3 1 7 10
4 1 10 13
5 1 13 16
6 1 16 19
7 1 19 22
8 1 22 25
9 1 25 28
10 1 28 31
11 1 31 34
12 1 34 37
13 1 37 40
14 1 40 43
15 1 43 46
16 1 46 49
17 1 49 52
18 1 52 55
19 1 55 58
20 2 1 2
21 2 4 5
22 2 7 8
23 2 10 11
24 2 13 14
25 2 16 17
26 2 19 20
27 2 22 23
28 2 25 26
29 2 28 29
30 2 31 32
31 2 34 35
32 2 37 38
33 2 40 41
34 2 43 44
35 2 46 47
36 2 49 50
37 2 52 53
38 2 55 56
39 2 58 59
40 3 1 3
41 3 4 6
42 3 7 9
43 3 10 12
44 3 13 15
45 3 16 18
46 3 19 21
47 3 22 24
48 3 25 27
49 3 28 30
50 3 31 33
51 3 34 36
52 3 37 39
53 3 40 42
54 3 43 45
55 3 46 48
56 3 49 51
57 3 52 54
58 3 55 57
59 3 58 60

 Angles

1 1 1 4 7
2 1 4 7 10
3 1 7 10 13
4 1 10 13 16
5 1 13 16 19
6 1 16 19 22
7 1 19 22 25
8 1 22 25 28
9 1 25 28 31
10 1 28 31 34
11 1 31 34 37
12 1 34 37 40
13 1 37 40 43
14 1 40 43 46
15 1 43 46 49
16 1 46 49 52
17 1 49 52 55
18 1 52 55 58
19 2 2 1 4
20 2 8 7 10
21 2 14 13 16
22 2 20 19 22
23 2 26 25 28
24 2 32 31 34
25 2 38 37 40
26 2 44 43 46
27 2 50 49 52
28 2 56 55 58
29 3 3 1 4
30 3 9 7 10
31 3 15 13 16
32 3 21 19 22
33 3 27 25 28
34 3 33 31 34
35 3 39 37 40
36 3 45 43 46
37 3 51 49 52
38 3 57 55 58
39 4 5 4 1
40 4 11 10 7
41 4 17 16 13
42 4 23 22 19
43 4 29 28 25
44 4 35 34 31
45 4 41 40 37
46 4 47 46 43
47 4 53 52 49
48 4 59 58 55
49 5 6 4 1
50 5 12 10 7
51 5 18 16 13
52 5 24 22 19
53 5 30 28 25
54 5 36 34 31
55 5 42 40 37
56 5 48 46 43
57 5 54 52 49
58 5 60 58 55
59 6 2 1 3
60 6 5 4 6
61 6 8 7 9
62 6 11 10 12
63 6 14 13 15
64 6 17 16 18
65 6 20 19 21
66 6 23 22 24
67 6 26 25 27
68 6 29 28 30
69 6 32 31 33
70 6 35 34 36
71 6 38 37 39
72 6 41 40 42
73 6 44 43 45
74 6 47 46 48
75 6 50 49 51
76 6 53 52 54
77 6 56 55 57
78 6 59 58 60

 Impropers

1 1 1 4 7 10
2 1 4 7 10 13
3 1 7 10 13 16
4 1 10 13 16 19
5 1 13 16 19 22
6 1 16 19 22 25
7 1 19 22 25 28
8 1 22 25 28 31
9 1 25 28 31 34
10 1 28 31 34 37
11 1 31 34 37 40
12 1 34 37 40 43
13 1 37 40 43 46
14 1 40 43 46 49
15 1 43 46 49 52
16 1 46 49 52 55
17 1 49 52 55 58
18 2 2 1 4 6
19 2 5 4 7 9
20 2 8 7 10 12
21 2 11 10 13 15
22 2 14 13 16 18
23 2 17 16 19 21
24 2 20 19 22 24
25 2 23 22 25 27
26 2 26 25 28 30
27 2 29 28 31 33
28 2 32 31 34 36
29 2 35 34 37 39
30 2 38 37 40 42
31 2 41 40 43 45
32 2 44 43 46 48
33 2 47 46 49 51
34 2 50 49 52 54
35 2 53 52 55 57
36 2 56 55 58 60
37 3 3 1 4 5
38 3 6 4 7 8
39 3 9 7 10 11
40 3 12 10 13 14
41 3 15 13 16 17
42 3 18 16 19 20
43 3 21 19 22 23
44 3 24 22 25 26
45 3 27 25 28 29
46 3 30 28 31 32
47 3 33 31 34 35
48 3 36 34 37 38
49 3 39 37 40 41
50 3 42 40 43 44
51 3 45 43 46 47
52 3 48 46 49 50
53 3 51 49 52 53
54 3 54 52 55 56
55 3 57 55 58 59
